fid,CMAUID,CMAPUID,CMANAME,CMATYPE,PRUID,PRNAME,F_20_to_24sum,F_5_to_9sum,M_15_to_19sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,M_20_to_24sum,F_1_to_4sum,F_30_to_34sum,M_30_to_34sum,F_15_to_19sum,M_25_to_29sum,M_0_to_1sum,F_25_to_29sum,M_1_to_4sum,M_5_to_9sum,F_35_to_39sum,F_0_to_1sum,Area
"72","840","47840",Lloydminster (Saskatchewan part / partie de la Saskatchewan),D,"47",Saskatchewan,485.242102750641,395.411533372575,455.981586786843,375.969843548904,430.292907273018,424.339235837698,514.900062666213,304.762180690103,440.873500632508,464.528010504384,400.131704928618,496.692260891714,91.3446831149404,479.5961413846,324.916085764215,455.742245234828,464.646669266553,70.5637018616632,107296.023554543
"73","805","48805",Medicine Hat,K,"48",Alberta,2750.05500317275,2348.26763616207,2314.29954273822,2105.59704638334,2013.693837866,2980.18869354445,2979.81002138507,1911.00905181026,3112.71330153176,3228.22304319497,2148.67788972138,3138.80447613427,519.415918595417,3110.0309252763,1987.55540806438,2376.98665675742,2920.41384908731,489.872109907193,1363095.85551947
"74","806","48806",Brooks,D,"48",Alberta,921.353840835654,786.742742612846,775.361855223909,705.440373750401,674.649393458714,998.456571485019,998.328995313785,640.24764142652,1042.85648522644,1081.55581053937,719.873665240986,1051.59743767924,174.020467885366,1041.95749944589,665.892996174737,796.364073301504,978.429743117988,164.122496467101,622347.921283134
"75","810","48810",Lethbridge,B,"48",Alberta,4167.75584174547,3558.84082049656,3507.35923055543,3191.06852316859,3051.78512220957,4516.53102274318,4515.95392666861,2896.16836583907,4717.37459638844,4892.43149277586,3256.35769782912,4756.91440916042,787.183804570403,4713.30801991829,3012.17545355394,3602.3630327259,4425.93940844569,742.410203949924,304669.698682954
"76","825","48825",Calgary,B,"48",Alberta,49090.417619595,41918.2381966121,41311.856042156,37586.3875928853,35945.8211781771,53198.5084002922,53191.7110093814,34112.8703222681,55564.1688076507,57626.0976493054,38355.4040639812,56029.8932607958,9271.9399046483,55516.2700903894,35479.27389616,42430.8698554168,52131.4640651422,8744.56862510822,524170.103890235
"77","521","35521",Kingston,B,"35",Ontario,5577.85161227361,4489.88670890248,5116.91822674146,4595.32736049655,4369.63633761546,5281.62090287277,5829.69149053423,3420.13473904004,5917.2899301632,5355.64413321794,4709.24704187748,5500.65438288717,830.855218158196,5671.91914297422,3580.28464548178,4831.28768546952,5763.54300159379,797.747842716849,214232.835922322
"78","522","35522",Belleville,B,"35",Ontario,3535.18114479967,2845.6409253071,3243.04662248921,2912.46805656707,2769.42756064112,3347.43337027507,3694.79449430491,2167.64386917748,3750.31342570736,3394.34848369377,2984.66909942932,3486.25438890805,526.58692029204,3594.80011170455,2269.14512197881,3062.01712395596,3652.87031048071,505.603828766756,135465.068534542
"79","755","47755",Weyburn,D,"47",Saskatchewan,402.258758160053,327.772098182315,378.048501831014,311.677936854474,356.779539282856,351.672492607002,426.834206484287,252.61196454442,365.372504201747,384.984936423614,331.723868661713,411.695235902051,75.7231383606813,397.511115588772,269.325724267532,377.839107243519,385.136206030322,58.4808710726847,1938.35435522194
"80","820","48820",Okotoks,D,"48",Alberta,985.60394368667,841.605815612711,829.43128667312,754.63387109524,721.695696712253,1068.08339144479,1067.94691762337,684.894958437886,1115.57950878851,1156.97750914982,770.073658510461,1124.93000573356,186.155689590974,1114.61783067574,712.328677868645,851.89808323863,1046.66000215791,175.567488492106,1979.67196285315
"81","821","48821",High River,D,"48",Alberta,523.238822618758,446.792890574412,440.329659345385,400.621101435594,383.134836363661,567.025627421001,566.953177156487,363.598008469777,592.240433774175,614.217864634622,408.817798703709,597.204438607863,98.8265969311142,591.729897102898,378.162061020583,452.256864331979,555.652349018867,93.205517629769,2196.5225305031
