fid,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin2Al_1,date,validOn,validTo,Shape_Leng,Shape_Area,Area,F_25_to_29sum,M_0_to_1sum,M_15_to_19sum,F_5_to_9sum,F_10_to_14sum,F_20_to_24sum,F_1_to_4sum,F_35_to_39sum,F_15_to_19sum,M_1_to_4sum,M_35_to_39sum,M_5_to_9sum,F_30_to_34sum,M_25_to_29sum,M_20_to_24sum,F_0_to_1sum,M_10_to_14sum,M_30_to_34sum
"499",Colombia,CO,BoyacÃ¡,CO15,MoniquirÃ¡,CO15469,Moniquira,,,2009/01/01,2014/10/29,,0.885420024574,0.0177847326847,21779.8564667657,877.347120995168,226.257300133933,1170.60995118646,1103.28024239885,1146.67826814391,982.594143192982,838.354649295798,831.481554589001,1090.25349215209,886.414887162391,788.705808531959,1158.26019860012,832.480775605654,889.688641315326,995.143397933571,213.442253933521,1207.29849788686,808.686614697333
"500",Colombia,CO,Antioquia,CO05,Abejorral,CO05002,Abejorral,,,2009/01/01,2014/10/29,,1.15174627039,0.0414173228505,50726.4715923121,873.876727758907,184.115182946844,985.643783319741,887.775015257299,953.900582210161,953.5442391166,688.070489149541,851.093379441649,986.599312356906,721.313442976214,751.381517350208,925.372355288593,784.413367194589,796.939265217399,901.880788877606,175.180399597797,992.24472388206,695.947036102647
"501",Colombia,CO,Antioquia,CO05,Ciudad BolÃ­var,CO05101,Ciudad Bolivar,,,2009/01/01,2014/10/29,,0.752428968246,0.0272260126076,33343.4222492045,1269.76095215045,277.150333419442,1457.53392594121,1316.50796143711,1411.26316654822,1393.69778156001,1036.70483606518,1225.46874444466,1453.45051889913,1085.79997176537,1081.68376166141,1373.52082361281,1135.72880449449,1158.52992485208,1319.80568327522,263.941516797873,1468.19119809009,1007.49875472602
"502",Colombia,CO,BoyacÃ¡,CO15,Floresta,CO15276,Floresta,,,2009/01/01,2014/10/29,,0.410076983853,0.00716370456724,8773.01377691582,187.473379100207,48.3944130865857,250.305232222658,235.986146637006,245.217854975257,209.982295790687,179.316801266745,177.679243145976,233.068235077895,189.596217207843,168.569615636952,247.742411468178,177.912107538199,190.172310720431,212.699539480964,45.6534502240247,258.186399448197,172.866948398063
"503",Colombia,CO,Santander,CO68,Puente Nacional,CO68572,Puente Nacional,,,2009/01/01,2014/10/29,,0.773549306824,0.0205707318109,25193.1260738501,620.835071666166,129.154307732475,719.131874072831,626.924132104497,684.916669446044,682.536973340437,478.40086969384,584.114148702938,705.648720270488,505.991612397833,533.691083851736,660.570980444551,572.15392373316,589.128650978208,668.04970929632,121.799237506639,717.936452713795,529.635001007933
"504",Colombia,CO,Antioquia,CO05,SonsÃ³n,CO05756,Sonson,,,2009/01/01,2014/10/29,,3.21299621363,0.108968908582,133470.728642848,1659.84067146282,349.774621049088,1872.6537330295,1686.69211341429,1812.37333804788,1811.25817631895,1307.15630961885,1616.63401967543,1874.27984010056,1370.32227363216,1427.35345831816,1758.18837570341,1490.04689973348,1513.95256228768,1713.28734712151,332.797537994309,1885.25855184859,1322.21552182129
"505",Colombia,CO,Antioquia,CO05,Pueblorrico,CO05576,Pueblorrico,,,2009/01/01,2014/10/29,,0.529458111802,0.00589511860988,7220.02489133207,351.618204966653,74.0836590125691,396.567829333246,357.205834046006,383.7958635455,383.667528892867,276.863293686882,342.436244308949,396.956039387267,290.239720079582,302.315679002088,372.327208982781,315.615413095336,320.652008874808,362.875751992222,70.4884502583882,399.22282643104,280.009997712448
"506",Colombia,CO,BoyacÃ¡,CO15,Otanche,CO15507,Otanche,,,2009/01/01,2014/10/29,,1.46481886891,0.0397537678581,48693.3367525698,385.719130864716,99.5595174749615,514.944508366752,485.494654129958,504.490144766634,432.02179351286,368.901843126747,365.579265665496,479.499852768146,390.047253117315,346.832836573478,509.680210245308,366.045919212513,391.256888690055,437.614524368197,93.9211597082613,531.168973545311,355.656913475599
"507",Colombia,CO,Santander,CO68,JesÃºs MarÃ­a,CO68368,Jesus Maria,,,2009/01/01,2014/10/29,,0.770252774456,0.00679022906634,8315.70296916924,123.973150089849,25.7570252848091,143.483577668201,125.022581307217,136.632514413912,136.280435120221,95.4064668198116,116.635814951733,140.838116623461,100.909052122384,106.545130250975,131.735751895234,114.233791973442,117.597989661619,133.362210107502,24.2901625885861,143.21546820784,105.71548355883
"508",Colombia,CO,BoyacÃ¡,CO15,Corrales,CO15215,Corrales,,,2009/01/01,2014/10/29,,0.401610839003,0.00504857147651,6183.0877696513,94.1183066638187,24.2957172652241,125.662132568425,118.473442245973,123.108088186942,105.418583716499,90.0234145038994,89.2013020662125,117.008546677651,95.1840469534509,84.627944845357,124.375505385688,89.3182082185522,95.4732663759496,106.782736661611,22.919656375976,129.618758948054,86.7853587291902
