fid,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin2Al_1,date,validOn,validTo,Shape_Leng,Shape_Area,F_20_to_24sum,F_5_to_9sum,M_15_to_19sum,M_10_to_14sum,F_10_to_14sum,M_35_to_39sum,M_20_to_24sum,F_1_to_4sum,F_30_to_34sum,M_30_to_34sum,F_15_to_19sum,M_25_to_29sum,M_0_to_1sum,F_25_to_29sum,M_1_to_4sum,M_5_to_9sum,F_35_to_39sum,F_0_to_1sum,Area
"672",Colombia,CO,BoyacÃ¡,CO15,Miraflores,CO15455,Miraflores,,,2009/01/01,2014/10/29,,0.619177882185,0.0184518063193,393.129958920879,405.088995377417,448.130024070619,447.589660218218,425.107485351851,360.387258674367,398.217175713391,298.518388966913,406.009679423063,394.496202433947,417.270043277647,399.145664390177,78.1595378234342,393.480950716301,315.631083611283,425.269539476372,379.862822931842,73.7327326013474,22623.2579802657
"673",Colombia,CO,Cundinamarca,CO25,Suesca,CO25772,Suesca,,,2009/01/01,2014/10/29,,0.925933126662,0.0143534845091,820.63337549381,830.345671302639,866.279463891406,907.467146703973,864.685348168481,811.352463726886,849.881734039169,591.952594763367,873.944931360893,831.802644615527,838.210413898807,823.577100403141,153.562582633458,841.540374089498,620.130657438654,868.814982225653,854.622469990514,146.209698356106,17598.7724325771
"674",Colombia,CO,Risaralda,CO66,ApÃ­a,CO66045,Apia,,,2009/01/01,2014/10/29,,0.783030997589,0.0126310077759,866.390573652927,728.241894236766,833.947242933093,834.385414445307,790.375467034988,766.321851673769,807.980977921747,518.670646366198,855.484724781243,779.771357530262,832.531325211748,834.289515655255,135.698457982333,898.978951377096,547.990093403263,764.008687780239,861.592074227985,128.109369745303,15486.7484131296
"675",Colombia,CO,BoyacÃ¡,CO15,Pachavita,CO15511,Pachavita,,,2009/01/01,2014/10/29,,0.348557620869,0.00542879701959,84.1767277256586,86.7373887691647,95.9533054907806,95.8376031168737,91.023734676186,77.1658823643811,85.2659991392866,63.9185607442632,86.9345250125043,84.4692668975331,89.3455866905861,85.4648066237569,16.7354687245679,84.2518819128163,67.5827196622267,91.0584334726445,81.335977286566,15.7876041145064,6656.10244439496
"676",Colombia,CO,Cundinamarca,CO25,Vergara,CO25862,Vergara,,,2009/01/01,2014/10/29,,0.586081964255,0.0120379786082,199.163259788882,201.520381506067,210.2413173276,220.237344434951,209.854434219189,196.910833215341,206.261677351315,143.663677451666,212.101684698835,201.873980903998,203.4291116721,199.877685973421,37.2688041633228,204.237274926156,150.502340075094,210.856673807837,207.412228442263,35.4842991495971,14759.8540656258
"677",Colombia,CO,Cundinamarca,CO25,Nimaima,CO25489,Nimaima,,,2009/01/01,2014/10/29,,0.515777574975,0.00467004353654,337.42455375148,341.418014376424,356.193119034171,373.1284960825,355.537656966131,333.608468274586,349.45076977415,243.396559393499,359.344973122235,342.017086923588,344.651806071866,338.634941875935,63.1412119148299,346.021004654933,254.982695839833,357.235662215855,351.400045683142,60.1178842301015,5725.94562409505
"678",Colombia,CO,Cundinamarca,CO25,Cogua,CO25200,Cogua,,,2009/01/01,2014/10/29,,0.646940306658,0.0109512085672,1092.89151417743,1105.82601883169,1153.68141487334,1208.53376723919,1151.5584279187,1080.53151386185,1131.84347859304,788.342257881537,1163.89002440684,1107.76636622846,1116.30001327302,1096.811865984,204.509405047633,1120.73474129196,825.86883966811,1157.05813267734,1138.15702974144,194.717085130746,13427.9072324687
"679",Colombia,CO,Caldas,CO17,Risaralda,CO17616,Risaralda,,,2009/01/01,2014/10/29,,0.644271481439,0.00817853520299,418.017988356762,355.331560648046,433.57814454101,423.749329410493,406.677753470838,391.730657708831,401.657002895139,253.75893107336,420.370310995728,390.388226875104,428.975971389562,397.973616521806,65.7979089935543,420.618912406266,265.711216552183,378.47640658915,440.758713048883,62.6773459392134,10028.0109126072
"680",Colombia,CO,Caldas,CO17,Manizales,CO17001,Manizales,,,2009/01/01,2014/10/29,,1.39194386322,0.0361217091282,16860.2708204766,14331.8864501806,17487.8716742159,17091.4378040817,16402.875605958,15800.0018192495,16200.3694329772,10235.072217535,16955.1490205736,15745.8564187351,17302.2483525588,16051.8043274882,2653.88235660546,16965.1760653676,10717.1537958963,15265.4069751007,17777.4915663493,2528.01806493106,44292.2379020102
"681",Colombia,CO,BoyacÃ¡,CO15,Garagoa,CO15299,Garagoa,,,2009/01/01,2014/10/29,,0.59924445063,0.0158821883533,713.533852310153,735.239594535669,813.35938844108,812.378622957738,771.573305451311,654.105603940785,722.767188862665,541.813136465265,736.910643173382,716.013595526339,757.348288072972,724.452403909992,141.860153026559,714.170905061997,572.872806906234,771.867434102343,689.453899785411,133.825467988529,19474.484592678
